SubjID,L_bankssts_surfavg,L_caudalanteriorcingulate_surfavg,L_caudalmiddlefrontal_surfavg,L_cuneus_surfavg,L_entorhinal_surfavg,L_fusiform_surfavg,L_inferiorparietal_surfavg,L_inferiortemporal_surfavg,L_isthmuscingulate_surfavg,L_lateraloccipital_surfavg,L_lateralorbitofrontal_surfavg,L_lingual_surfavg,L_medialorbitofrontal_surfavg,L_middletemporal_surfavg,L_parahippocampal_surfavg,L_paracentral_surfavg,L_parsopercularis_surfavg,L_parsorbitalis_surfavg,L_parstriangularis_surfavg,L_pericalcarine_surfavg,L_postcentral_surfavg,L_posteriorcingulate_surfavg,L_precentral_surfavg,L_precuneus_surfavg,L_rostralanteriorcingulate_surfavg,L_rostralmiddlefrontal_surfavg,L_superiorfrontal_surfavg,L_superiorparietal_surfavg,L_superiortemporal_surfavg,L_supramarginal_surfavg,L_frontalpole_surfavg,L_temporalpole_surfavg,L_transversetemporal_surfavg,L_insula_surfavg,R_bankssts_surfavg,R_caudalanteriorcingulate_surfavg,R_caudalmiddlefrontal_surfavg,R_cuneus_surfavg,R_entorhinal_surfavg,R_fusiform_surfavg,R_inferiorparietal_surfavg,R_inferiortemporal_surfavg,R_isthmuscingulate_surfavg,R_lateraloccipital_surfavg,R_lateralorbitofrontal_surfavg,R_lingual_surfavg,R_medialorbitofrontal_surfavg,R_middletemporal_surfavg,R_parahippocampal_surfavg,R_paracentral_surfavg,R_parsopercularis_surfavg,R_parsorbitalis_surfavg,R_parstriangularis_surfavg,R_pericalcarine_surfavg,R_postcentral_surfavg,R_posteriorcingulate_surfavg,R_precentral_surfavg,R_precuneus_surfavg,R_rostralanteriorcingulate_surfavg,R_rostralmiddlefrontal_surfavg,R_superiorfrontal_surfavg,R_superiorparietal_surfavg,R_superiortemporal_surfavg,R_supramarginal_surfavg,R_frontalpole_surfavg,R_temporalpole_surfavg,R_transversetemporal_surfavg,R_insula_surfavg,LThickness,RThickness,LSurfArea,RSurfArea,ICV
MaxMun_51346,841,643,2206,1246,312,3033,4074,3057,1153,4811,3299,2999,1745,2766,596,1352,1755,780,1296,1279,3564,1681,5253,3829,745,6070,8042,5952,3499,4395,192,419,513,2190,1060,949,2555,1340,390,3596,5486,2944,906,4903,2996,3340,1972,3335,662,1590,1286,919,1623,1489,3894,1459,4779,4088,720,6244,7097,5947,3526,3750,282,393,333,2526,2.51153,2.50596,85587.8,88380.3,1.54285e+06
MaxMun_51347,870,637,2769,1433,415,3428,4605,3139,1361,5486,3052,3424,2043,3004,850,1324,2187,802,1828,1451,4985,1207,5553,5221,1050,5909,7702,6954,3805,4798,192,481,706,2415,1243,998,2588,1529,314,3345,5103,3169,1265,4984,3246,4076,2108,3652,787,1545,2345,904,2167,1737,4328,1360,5055,5333,838,6062,7256,6811,3847,4813,353,410,384,2774,2.47152,2.50844,95084.3,96728.1,1.71718e+06
MaxMun_51349,918,620,2718,1846,421,3723,4303,3339,1144,5423,2329,4322,1832,2929,902,1454,1633,618,1434,1610,4863,1188,5538,4762,788,5877,7198,6559,3695,4656,233,432,623,2201,1199,794,1978,1896,498,4047,6834,3462,1019,5221,2196,4227,1913,3984,937,1464,1708,867,1239,1736,5244,1411,6109,4183,692,6225,7251,6884,3775,4119,328,427,413,1979,2.64392,2.56725,92131.6,96259.2,1.50909e+06
MaxMun_51350,971,932,2755,1790,320,3899,4969,3559,1324,5937,2793,3759,2044,3373,716,1478,2628,778,1856,1711,4473,1778,5830,4265,908,6660,7654,6877,3601,4358,273,533,559,2891,832,804,2112,1923,296,3384,7026,3161,891,5764,2322,3628,1852,3856,819,1477,1469,819,2024,1862,5020,1540,5583,4715,826,6653,8503,5879,3849,3986,304,364,316,2486,2.6301,2.59461,98252.1,96344.9,1.65295e+06
MaxMun_51351,1388,721,2217,1540,555,4109,5226,3862,985,4496,2417,3552,1862,3519,809,1291,1611,620,1148,1543,4305,1269,5033,4586,857,5938,7357,5739,4096,4807,230,462,446,2183,815,685,2016,1389,287,4200,6912,3703,896,4268,2493,3306,1679,4220,756,1498,1289,796,1326,1423,4447,1273,4986,4845,783,6298,7316,6625,3733,4437,322,328,378,2398,2.76753,2.75209,90779.7,92126.6,1.55747e+06
MaxMun_51354,953,664,2360,2162,380,3832,4965,3533,990,5511,2563,3423,1688,3109,721,1216,1772,639,1682,1929,4233,1349,4880,3785,849,6683,7556,6110,4249,4688,210,466,615,2247,1189,713,2632,2099,341,3692,6140,3139,975,5208,2302,3948,1699,3262,722,1781,1449,807,1816,1804,4512,1235,4890,3919,703,7128,7709,5610,3825,4441,315,431,368,2465,2.58469,2.5978,92015,93266.5,1.5014e+06
MaxMun_51355,1072,647,2364,1522,491,3749,4846,2941,1028,5127,2481,3052,2081,2752,829,1190,1644,681,1408,1409,4120,1156,5058,3835,848,6040,7241,4931,3629,3285,197,450,473,2150,883,864,2298,1595,237,3307,5328,3171,894,5490,2214,2808,1910,3353,831,1453,1488,879,2091,1746,3784,1204,4700,3534,687,6013,7065,5663,3371,3675,244,477,320,2357,2.7449,2.66804,84725,85932.8,1.41611e+06
MaxMun_51356,1495,873,3271,1915,653,3828,6520,4167,1266,5731,3077,3976,1989,4470,902,1443,1996,867,1392,1914,4639,1681,6115,4335,1142,7799,8999,6103,5045,6250,164,545,575,2882,921,942,2920,2056,487,4213,6904,4568,1206,6063,2923,3902,2087,3951,913,1792,1358,870,1709,1981,6206,1408,5896,4894,1057,7303,9612,6152,4571,5696,313,474,583,2938,2.70202,2.68121,108022,108871,1.68643e+06
MaxMun_51357,1438,589,2592,1650,413,3568,4279,3232,1103,5435,2684,3428,2011,3730,763,1245,1709,714,1363,1554,4311,1078,5215,3698,806,7291,8348,5459,4540,4091,220,497,556,2128,1175,757,2782,1623,365,3817,6270,3061,933,5302,2715,3146,1941,3867,759,1649,1404,718,1604,1609,4190,1224,5215,4357,769,6602,8279,5079,3818,3550,291,376,417,2187,2.89536,2.8844,91737.2,91850.6,1.56868e+06
MaxMun_51359,1486,800,3158,1801,386,3654,5122,3945,1260,5490,3239,3530,1817,3440,810,1486,1855,872,2067,1691,5663,1501,5818,4377,857,7777,8298,6418,5497,4196,271,536,788,3195,1100,1034,3362,1820,340,4141,6319,3675,1343,5416,3507,3828,2031,4439,764,1937,1571,1042,1946,1853,5132,1460,5552,4529,649,7140,8361,5536,4886,5029,392,442,443,2682,2.61263,2.58921,103099,103700,1.68914e+06
MaxMun_51360,1035,608,2108,2111,354,3470,4650,4074,1216,6708,2904,3859,1929,3608,822,1528,2066,742,1525,1951,5091,1363,5057,4190,1100,6703,8412,5849,4386,4993,206,537,647,2679,1241,1023,2364,1715,350,3219,6232,3577,992,6067,2648,3815,2041,4255,764,1569,1363,959,1535,2087,4358,1475,4794,4484,836,7844,7963,6464,4456,4830,257,425,438,2638,2.61478,2.539,98479.5,99078.3,1.69241e+06
MaxMun_51361,1190,876,1872,1061,490,4409,5758,3754,1105,6258,3074,3928,1856,4078,855,1772,1545,782,1239,1754,5137,1352,5453,3878,745,7011,9513,6156,3901,4128,220,469,421,2713,1257,814,1937,1892,445,3699,6327,3467,1119,5683,3028,3421,2076,4110,1018,1427,1683,862,1471,1482,4954,1266,6469,5016,743,6986,9008,6617,4130,4774,318,477,405,2441,2.50804,2.47739,98756.1,100822,1.70506e+06
MaxMun_51362,1047,583,2324,1712,399,2801,4234,3204,1034,4114,2456,3601,1886,3072,708,1294,1606,694,1373,1567,4477,1132,4536,3936,660,6460,6357,5496,3721,3438,208,506,411,2043,1004,590,2078,1400,343,3138,5431,3001,908,4234,2163,3561,1829,3523,618,1457,1332,754,1860,1744,3659,1292,4413,3738,456,6154,6343,5611,3438,3762,214,422,340,2121,2.2389,2.3208,83092.7,82933.1,1.46046e+06
